DATE,AGE_GROUP,RACE_ETHNICITY,CITY_COUNT_FULLY_CUMULATIVE,BX_COUNT_FULLY_CUMULATIVE,BK_COUNT_FULLY_CUMULATIVE,MH_COUNT_FULLY_CUMULATIVE,QS_COUNT_FULLY_CUMULATIVE,SI_COUNT_FULLY_CUMULATIVE,CITY_PERC_FULLY,BK_PERC_FULLY,BX_PERC_FULLY,MH_PERC_FULLY,QS_PERC_FULLY,SI_PERC_FULLY
2022-10-27,'5-12,Asian/NHPI,96649,4580,28962,12592,45770,4745,102.69,102.4,87.72,137.18,97.56,105.02
2022-10-27,'5-12,Black,61634,17377,23768,6826,11938,1725,37.96,35.35,41.59,46.34,35.41,35.09
2022-10-27,'5-12,Hispanic/Latino,123200,40741,24100,16500,37728,4131,45.97,43.73,42.23,46.59,54.43,35.33
2022-10-27,'5-12,White,71518,3472,23128,28387,11917,4614,36.45,25.03,40.18,82.7,31.53,19.99
2022-10-27,'13-17,Asian/NHPI,65399,3261,18741,6513,33679,3205,119.31,120.3,96.54,136.28,120.39,103.35
2022-10-27,'13-17,Black,68188,17391,27749,6598,14142,2308,65.51,64.51,67.36,69.61,62.61,72.26
2022-10-27,'13-17,Hispanic/Latino,128919,43662,24839,17219,38002,5197,82.64,78.76,77.25,79.34,97.26,72.54
2022-10-27,'13-17,White,58462,3714,17039,17153,12618,7938,54.85,36.5,73.57,96.1,58.99,50.85
2022-10-27,'18-44,Asian/NHPI,541601,22135,144215,107662,247821,19768,105.53,108.15,95.11,99.39,108.09,104.03
2022-10-27,'18-44,Black,442213,99977,184753,54427,90824,12232,64.43,64.76,63.93,67.33,61.99,70.76
2022-10-27,'18-44,Hispanic/Latino,835910,236648,170399,150422,250108,28333,85.11,84.82,74.05,86.24,99.37,79.5
2022-10-27,'18-44,White,752388,28499,264002,265753,133354,60780,69.92,66.94,70.84,73.61,69.64,68.29
2022-10-27,'45-64,Asian/NHPI,341535,14421,84836,45321,181996,14961,104.05,103.99,95.82,101.82,105.52,102.39
2022-10-27,'45-64,Black,357030,83147,144089,41093,79718,8983,73.51,72.7,77.1,75.68,69.93,78.77
2022-10-27,'45-64,Hispanic/Latino,495010,154288,89047,88365,146512,16798,88.8,84.11,86.42,90.77,93.98,84.92
2022-10-27,'45-64,White,457149,24505,129362,140517,102290,60475,73.13,69.2,78.52,78.78,70.3,72.78
2022-10-27,'65+,Asian/NHPI,171221,6627,42477,26455,88062,7600,97.18,104.86,87.13,88.55,96.96,103.16
2022-10-27,'65+,Black,197639,40786,82972,24204,45830,3847,70.38,68.48,72.96,72.42,70.05,78.53
2022-10-27,'65+,Hispanic/Latino,221025,68784,38843,50880,56414,6104,77.73,71.22,78.73,78.75,79.55,88.22
2022-10-27,'65+,White,376647,23989,93598,117468,95448,46144,71.69,63.18,66.41,80.49,70.35,77.56
2022-10-20,Boroughwide,Boroughwide,6656333,1082061,1874714,1381879,1955902,361777,79.84,73.23,76.3,84.85,86.78,75.98
2022-10-20,All ages,Asian/NHPI,1220434,51004,320789,199866,598445,50330,98.93,100.27,87.98,97.61,99.77,98.35
2022-10-20,All ages,Black,1126243,258405,463209,133225,242323,29081,61.68,60.9,62.31,66.01,59.98,65.09
2022-10-20,All ages,Hispanic/Latino,1804442,543967,347428,323651,528871,60525,74.45,71.83,68.03,77.66,83.3,68.28
2022-10-20,All ages,White,1725468,84349,531486,573186,356611,179836,64.34,56.46,66.01,74.53,63.67,63.39
2022-10-20,'0-4,Asian/NHPI,4752,77,1641,1484,1420,130,7.08,7.96,2.23,18.34,4.39,5.05
2022-10-20,'0-4,Black,856,169,325,216,128,18,0.8,0.71,0.63,2.38,0.59,0.6
2022-10-20,'0-4,Hispanic/Latino,1618,334,438,423,394,29,0.92,1.23,0.55,1.82,0.82,0.39
2022-10-20,'0-4,White,10571,326,4733,4155,1260,97,6.93,6.51,4.99,13.15,4.46,0.72
2022-10-20,'5-12,Asian/NHPI,96537,4566,28947,12567,45726,4731,102.57,102.35,87.45,136.91,97.47,104.71
2022-10-20,'5-12,Black,61533,17345,23742,6808,11917,1721,37.89,35.31,41.52,46.22,35.35,35.01
2022-10-20,'5-12,Hispanic/Latino,122960,40632,24047,16468,37690,4123,45.88,43.64,42.12,46.49,54.38,35.26
2022-10-20,'5-12,White,71441,3470,23101,28368,11899,4603,36.41,25,40.16,82.64,31.48,19.94
2022-10-20,'13-17,Asian/NHPI,65362,3251,18731,6504,33670,3206,119.25,120.23,96.24,136.1,120.35,103.39
2022-10-20,'13-17,Black,68107,17361,27714,6593,14133,2306,65.43,64.42,67.25,69.56,62.57,72.2
2022-10-20,'13-17,Hispanic/Latino,128813,43615,24831,17204,37978,5185,82.57,78.74,77.17,79.27,97.2,72.38
2022-10-20,'13-17,White,58389,3709,17014,17143,12598,7925,54.78,36.44,73.47,96.04,58.9,50.77
2022-10-20,'18-44,Asian/NHPI,541301,22111,144190,107567,247691,19742,105.47,108.13,95.01,99.3,108.03,103.89
2022-10-20,'18-44,Black,441679,99830,184545,54367,90727,12210,64.35,64.69,63.83,67.26,61.92,70.64
2022-10-20,'18-44,Hispanic/Latino,835511,236470,170369,150388,249966,28318,85.07,84.81,74,86.22,99.32,79.46
2022-10-20,'18-44,White,752127,28444,263888,265764,133309,60722,69.89,66.91,70.7,73.62,69.62,68.22
2022-10-20,'45-64,Asian/NHPI,341357,14392,84820,45299,181906,14940,104,103.97,95.63,101.77,105.46,102.24
2022-10-20,'45-64,Black,356695,83015,143993,41065,79644,8978,73.44,72.65,76.98,75.63,69.87,78.73
2022-10-20,'45-64,Hispanic/Latino,494780,154181,88995,88344,146475,16785,88.76,84.06,86.36,90.75,93.95,84.85
2022-10-20,'45-64,White,456726,24479,129241,140404,102175,60427,73.06,69.14,78.43,78.71,70.22,72.72
2022-10-20,'65+,Asian/NHPI,171125,6607,42460,26445,88032,7581,97.13,104.81,86.87,88.52,96.93,102.9
2022-10-20,'65+,Black,197373,40685,82890,24176,45774,3848,70.29,68.41,72.78,72.34,69.96,78.55
2022-10-20,'65+,Hispanic/Latino,220760,68735,38748,50824,56368,6085,77.64,71.05,78.67,78.66,79.49,87.95
2022-10-20,'65+,White,376214,23921,93509,117352,95370,46062,71.61,63.12,66.23,80.41,70.29,77.42
2022-10-13,Boroughwide,Boroughwide,6653606,1081440,1873940,1381608,1955082,361536,79.81,73.2,76.25,84.83,86.74,75.93
2022-10-13,All ages,Asian/NHPI,1219166,50948,320480,199612,597865,50261,98.83,100.18,87.88,97.49,99.67,98.21
2022-10-13,All ages,Black,1124558,257939,462632,133000,241967,29020,61.59,60.82,62.2,65.9,59.89,64.95
2022-10-13,All ages,Hispanic/Latino,1803215,543434,347254,323476,528599,60452,74.4,71.79,67.96,77.62,83.25,68.2
2022-10-13,All ages,White,1723248,84169,530904,572472,356078,179625,64.25,56.4,65.87,74.43,63.57,63.32
2022-10-13,'0-4,Asian/NHPI,4280,67,1457,1375,1266,115,6.38,7.07,1.94,17,3.91,4.47
2022-10-13,'0-4,Black,777,146,297,200,119,15,0.73,0.65,0.54,2.21,0.55,0.5
2022-10-13,'0-4,Hispanic/Latino,1468,293,405,383,359,28,0.84,1.13,0.48,1.65,0.75,0.38
2022-10-13,'0-4,White,9919,300,4488,3850,1190,91,6.5,6.17,4.59,12.18,4.21,0.68
2022-10-13,'5-12,Asian/NHPI,96378,4566,28916,12552,45640,4704,102.4,102.24,87.45,136.75,97.28,104.12
2022-10-13,'5-12,Black,61404,17310,23699,6792,11882,1721,37.81,35.24,41.43,46.11,35.24,35.01
2022-10-13,'5-12,Hispanic/Latino,122711,40533,24006,16435,37625,4112,45.79,43.56,42.02,46.4,54.28,35.17
2022-10-13,'5-12,White,71324,3464,23064,28305,11892,4599,36.35,24.96,40.09,82.46,31.46,19.93
2022-10-13,'13-17,Asian/NHPI,65323,3241,18723,6496,33660,3203,119.17,120.18,95.94,135.93,120.32,103.29
2022-10-13,'13-17,Black,68023,17343,27668,6582,14127,2303,65.35,64.32,67.18,69.45,62.55,72.1
2022-10-13,'13-17,Hispanic/Latino,128673,43558,24802,17186,37953,5174,82.48,78.64,77.07,79.19,97.13,72.22
2022-10-13,'13-17,White,58346,3706,17004,17126,12583,7927,54.74,36.42,73.42,95.95,58.83,50.78
2022-10-13,'18-44,Asian/NHPI,540985,22099,144136,107501,247514,19735,105.41,108.09,94.96,99.24,107.96,103.85
2022-10-13,'18-44,Black,441023,99673,184300,54302,90576,12172,64.26,64.6,63.73,67.18,61.82,70.42
2022-10-13,'18-44,Hispanic/Latino,835182,236324,170340,150363,249867,28288,85.03,84.79,73.95,86.21,99.28,79.38
2022-10-13,'18-44,White,751720,28403,263809,265706,133156,60646,69.86,66.89,70.6,73.6,69.54,68.14
2022-10-13,'45-64,Asian/NHPI,341175,14374,84811,45264,181792,14934,103.94,103.96,95.51,101.69,105.4,102.2
2022-10-13,'45-64,Black,356223,82885,143863,40995,79510,8970,73.34,72.59,76.86,75.5,69.75,78.66
2022-10-13,'45-64,Hispanic/Latino,494620,154071,88995,88309,146471,16774,88.73,84.06,86.29,90.71,93.95,84.8
2022-10-13,'45-64,White,456236,24441,129112,140296,102029,60358,72.98,69.07,78.31,78.65,70.12,72.64
2022-10-13,'65+,Asian/NHPI,171025,6601,42437,26424,87993,7570,97.07,104.76,86.79,88.45,96.88,102.76
2022-10-13,'65+,Black,197108,40582,82805,24129,45753,3839,70.19,68.34,72.6,72.2,69.93,78.36
2022-10-13,'65+,Hispanic/Latino,220561,68655,38706,50800,56324,6076,77.57,70.97,78.58,78.62,79.43,87.82
2022-10-13,'65+,White,375703,23855,93427,117189,95228,46004,71.51,63.06,66.04,80.29,70.19,77.33
2022-10-06,Boroughwide,Boroughwide,6650857,1080766,1873011,1381331,1954420,361329,79.78,73.17,76.21,84.81,86.71,75.89
2022-10-06,All ages,Asian/NHPI,1218083,50844,320122,199469,597446,50202,98.74,100.07,87.7,97.42,99.6,98.1
2022-10-06,All ages,Black,1123155,257549,462139,132880,241644,28943,61.51,60.76,62.11,65.84,59.81,64.78
2022-10-06,All ages,Hispanic/Latino,1801572,542828,346945,323154,528262,60383,74.33,71.73,67.89,77.54,83.2,68.12
2022-10-06,All ages,White,1721628,84015,530381,572010,355780,179442,64.19,56.35,65.75,74.37,63.52,63.25
2022-10-06,'0-4,Asian/NHPI,3852,55,1295,1263,1141,98,5.74,6.28,1.6,15.61,3.53,3.81
2022-10-06,'0-4,Black,682,123,266,177,101,15,0.64,0.58,0.46,1.95,0.46,0.5
2022-10-06,'0-4,Hispanic/Latino,1312,256,352,352,325,27,0.75,0.99,0.42,1.51,0.68,0.36
2022-10-06,'0-4,White,9204,274,4190,3548,1104,88,6.03,5.76,4.19,11.23,3.91,0.66
2022-10-06,'5-12,Asian/NHPI,96232,4550,28872,12530,45582,4698,102.25,102.08,87.15,136.51,97.16,103.98
2022-10-06,'5-12,Black,61249,17242,23665,6779,11846,1717,37.72,35.19,41.27,46.02,35.13,34.93
2022-10-06,'5-12,Hispanic/Latino,122492,40459,23955,16394,37583,4101,45.71,43.47,41.94,46.29,54.22,35.08
2022-10-06,'5-12,White,71258,3459,23048,28265,11886,4600,36.31,24.95,40.03,82.34,31.45,19.93
2022-10-06,'13-17,Asian/NHPI,65279,3236,18717,6474,33647,3205,119.09,120.14,95.8,135.47,120.27,103.35
2022-10-06,'13-17,Black,67926,17322,27614,6582,14110,2298,65.26,64.19,67.1,69.45,62.47,71.95
2022-10-06,'13-17,Hispanic/Latino,128530,43508,24775,17160,37920,5167,82.39,78.56,76.98,79.07,97.05,72.12
2022-10-06,'13-17,White,58267,3688,16980,17104,12577,7918,54.67,36.37,73.06,95.83,58.8,50.72
2022-10-06,'18-44,Asian/NHPI,540739,22055,144069,107514,247384,19717,105.36,108.04,94.77,99.25,107.9,103.76
2022-10-06,'18-44,Black,440496,99541,184132,54243,90458,12122,64.18,64.54,63.65,67.1,61.74,70.13
2022-10-06,'18-44,Hispanic/Latino,834589,236099,170242,150247,249747,28254,84.97,84.74,73.88,86.14,99.23,79.28
2022-10-06,'18-44,White,751764,28391,263794,265865,133103,60611,69.86,66.89,70.57,73.65,69.51,68.1
2022-10-06,'45-64,Asian/NHPI,341032,14353,84755,45263,181740,14921,103.9,103.89,95.37,101.69,105.37,102.11
2022-10-06,'45-64,Black,355955,82804,143760,40994,79434,8963,73.28,72.54,76.78,75.5,69.68,78.6
2022-10-06,'45-64,Hispanic/Latino,494362,153930,88970,88283,146417,16762,88.68,84.03,86.22,90.69,93.92,84.74
2022-10-06,'45-64,White,455872,24408,129010,140185,101977,60292,72.93,69.01,78.21,78.59,70.08,72.56
2022-10-06,'65+,Asian/NHPI,170949,6595,42414,26425,87952,7563,97.03,104.7,86.71,88.45,96.84,102.66
2022-10-06,'65+,Black,196847,40517,82702,24105,45695,3828,70.1,68.26,72.48,72.13,69.84,78.14
2022-10-06,'65+,Hispanic/Latino,220287,68576,38651,50718,56270,6072,77.47,70.87,78.49,78.5,79.35,87.76
2022-10-06,'65+,White,375263,23795,93359,117043,95133,45933,71.43,63.02,65.88,80.19,70.12,77.21
2022-09-29,Boroughwide,Boroughwide,6648810,1079992,1872485,1381369,1953910,361054,79.75,73.15,76.15,84.81,86.69,75.83
2022-09-29,All ages,Asian/NHPI,1217043,50764,319939,199250,596971,50119,98.65,100.01,87.56,97.31,99.53,97.93
2022-09-29,All ages,Black,1121688,257087,461661,132713,241356,28871,61.43,60.69,62,65.76,59.74,64.62
2022-09-29,All ages,Hispanic/Latino,1799772,542172,346643,322837,527832,60288,74.26,71.67,67.81,77.46,83.13,68.02
2022-09-29,All ages,White,1720163,83817,530030,571546,355609,179161,64.14,56.31,65.59,74.31,63.49,63.15
2022-09-29,'0-4,Asian/NHPI,3463,46,1168,1124,1039,86,5.16,5.67,1.33,13.89,3.21,3.34
2022-09-29,'0-4,Black,589,108,225,153,89,14,0.55,0.49,0.4,1.69,0.41,0.47
2022-09-29,'0-4,Hispanic/Latino,1165,214,327,315,286,23,0.66,0.92,0.35,1.35,0.6,0.31
2022-09-29,'0-4,White,8390,253,3859,3170,1026,82,5.5,5.31,3.87,10.03,3.63,0.61
2022-09-29,'5-12,Asian/NHPI,96007,4539,28805,12513,45481,4669,102.01,101.85,86.94,136.32,96.94,103.34
2022-09-29,'5-12,Black,61075,17203,23618,6748,11799,1707,37.61,35.12,41.18,45.81,35,34.72
2022-09-29,'5-12,Hispanic/Latino,122205,40355,23890,16339,37529,4092,45.6,43.35,41.83,46.13,54.14,35
2022-09-29,'5-12,White,71091,3445,23009,28177,11870,4590,36.23,24.9,39.87,82.08,31.4,19.89
2022-09-29,'13-17,Asian/NHPI,65222,3230,18708,6478,33615,3191,118.99,120.08,95.62,135.55,120.16,102.9
2022-09-29,'13-17,Black,67838,17298,27588,6579,14082,2291,65.17,64.13,67,69.41,62.35,71.73
2022-09-29,'13-17,Hispanic/Latino,128390,43466,24755,17115,37891,5163,82.3,78.5,76.9,78.86,96.97,72.07
2022-09-29,'13-17,White,58162,3688,16952,17062,12559,7901,54.57,36.31,73.06,95.59,58.71,50.61
2022-09-29,'18-44,Asian/NHPI,540654,22032,144106,107496,247324,19696,105.34,108.06,94.67,99.23,107.87,103.65
2022-09-29,'18-44,Black,439904,99354,183929,54192,90350,12079,64.1,64.47,63.53,67.04,61.67,69.88
2022-09-29,'18-44,Hispanic/Latino,833989,235845,170149,150181,249603,28211,84.91,84.7,73.8,86.11,99.17,79.16
2022-09-29,'18-44,White,752285,28321,264015,266242,133157,60550,69.91,66.94,70.39,73.75,69.54,68.03
2022-09-29,'45-64,Asian/NHPI,340852,14328,84741,45242,181626,14915,103.84,103.87,95.2,101.64,105.3,102.07
2022-09-29,'45-64,Black,355683,82694,143667,40981,79384,8957,73.23,72.49,76.68,75.48,69.64,78.54
2022-09-29,'45-64,Hispanic/Latino,493977,153805,88912,88195,146324,16741,88.61,83.98,86.15,90.6,93.86,84.63
2022-09-29,'45-64,White,455525,24365,128949,140054,101930,60227,72.87,68.98,78.07,78.52,70.05,72.48
2022-09-29,'65+,Asian/NHPI,170845,6589,42411,26397,87886,7562,96.97,104.69,86.63,88.36,96.77,102.65
2022-09-29,'65+,Black,196599,40430,82634,24060,45652,3823,70.01,68.2,72.33,71.99,69.78,78.04
2022-09-29,'65+,Hispanic/Latino,220046,68487,38610,50692,56199,6058,77.39,70.8,78.39,78.45,79.25,87.56
2022-09-29,'65+,White,374710,23745,93246,116841,95067,45811,71.32,62.94,65.74,80.06,70.07,77
2022-09-22,Boroughwide,Boroughwide,6644832,1079225,1871060,1380682,1953066,360799,79.7,73.09,76.1,84.77,86.65,75.78
2022-09-22,All ages,Asian/NHPI,1215660,50655,319601,198959,596412,50033,98.54,99.9,87.37,97.17,99.43,97.77
2022-09-22,All ages,Black,1120196,256615,461189,132491,241071,28830,61.35,60.63,61.88,65.65,59.67,64.52
2022-09-22,All ages,Hispanic/Latino,1797978,541547,346231,322537,527439,60224,74.19,71.58,67.73,77.39,83.07,67.94
2022-09-22,All ages,White,1717911,83675,529188,570885,355285,178878,64.05,56.22,65.48,74.23,63.43,63.05
2022-09-22,'0-4,Asian/NHPI,2991,35,1016,969,906,65,4.46,4.93,1.02,11.98,2.8,2.52
2022-09-22,'0-4,Black,496,86,189,132,77,12,0.47,0.41,0.32,1.46,0.35,0.4
2022-09-22,'0-4,Hispanic/Latino,979,170,283,270,240,16,0.56,0.79,0.28,1.16,0.5,0.21
2022-09-22,'0-4,White,7487,229,3446,2815,926,71,4.91,4.74,3.51,8.91,3.28,0.53
2022-09-22,'5-12,Asian/NHPI,95747,4517,28708,12481,45385,4656,101.73,101.5,86.52,135.97,96.74,103.05
2022-09-22,'5-12,Black,60895,17160,23556,6709,11770,1700,37.5,35.03,41.07,45.55,34.91,34.58
2022-09-22,'5-12,Hispanic/Latino,121838,40240,23809,16286,37436,4067,45.46,43.21,41.72,45.98,54.01,34.78
2022-09-22,'5-12,White,70942,3432,22967,28132,11841,4570,36.15,24.86,39.72,81.95,31.33,19.8
2022-09-22,'13-17,Asian/NHPI,65169,3227,18703,6467,33593,3179,118.89,120.05,95.53,135.32,120.08,102.52
2022-09-22,'13-17,Black,67746,17276,27564,6563,14061,2282,65.08,64.08,66.92,69.24,62.26,71.45
2022-09-22,'13-17,Hispanic/Latino,128247,43413,24735,17089,37859,5151,82.21,78.43,76.81,78.74,96.89,71.9
2022-09-22,'13-17,White,58098,3688,16935,17042,12546,7887,54.51,36.27,73.06,95.48,58.65,50.52
2022-09-22,'18-44,Asian/NHPI,540434,22000,144072,107457,247222,19683,105.3,108.04,94.53,99.2,107.83,103.58
2022-09-22,'18-44,Black,439355,99180,183715,54164,90237,12059,64.02,64.4,63.42,67.01,61.59,69.76
2022-09-22,'18-44,Hispanic/Latino,833465,235608,170053,150122,249493,28189,84.86,84.65,73.73,86.07,99.13,79.1
2022-09-22,'18-44,White,752095,28318,263881,266296,133125,60475,69.89,66.91,70.39,73.77,69.52,67.95
2022-09-22,'45-64,Asian/NHPI,340598,14296,84701,45224,181478,14899,103.77,103.82,94.99,101.6,105.22,101.96
2022-09-22,'45-64,Black,355342,82571,143576,40929,79317,8949,73.16,72.44,76.57,75.38,69.58,78.47
2022-09-22,'45-64,Hispanic/Latino,493658,153691,88826,88134,146263,16744,88.56,83.9,86.08,90.53,93.82,84.65
